,red,green,blue,ir_1,ir_2,ir_3,current
red,0.0,0.21345229943593344,0.5506356259187063,0.04422543694575628,0.04919552616775036,0.15853137026230493,0.11531505733728409
green,1.4521294832229614,0.0,2.225097974141439,0.29422101378440857,0.33346352974573773,0.30996669332186383,0.3797064522902171
blue,0.42903873324394226,0.5403520067532858,0.0,0.223565012216568,0.20356823752323785,0.002908674107554058,0.18918158362309137
ir_1,0.7737505435943604,0.6535423398017883,0.15354588876167932,0.0,1.7759377161661785,1.115634262561798,0.532879168788592
ir_2,0.7540515263875326,0.36440343658129376,0.15688420170530057,1.7534650564193726,0.0,0.8011410037676493,1.0927992661794026
ir_3,0.11308263490597407,0.30386921763420105,1.354173719882965,0.2949906388918559,0.5078591480851173,0.0,0.8223864436149597
current,0.046785895712673664,0.06064506247639656,0.4570156931877136,0.03596814380337795,0.1411840816338857,0.5105163256327311,0.0
