seed,score,average_precision,auroc,precision_at_12,positive_fraction
0,edge_ranking,0.1959397893772894,0.19166666666666668,0.0,0.2857142857142857
0,attention_edge_ranking,0.22148545836289812,0.3194444444444445,0.08333333333333333,0.2857142857142857
1,edge_ranking,0.2140648339595581,0.2833333333333333,0.0,0.2857142857142857
1,attention_edge_ranking,0.297866077277842,0.5333333333333334,0.25,0.2857142857142857
2,edge_ranking,0.20484787156965376,0.2388888888888889,0.0,0.2857142857142857
2,attention_edge_ranking,0.2675394135176744,0.4611111111111111,0.16666666666666666,0.2857142857142857
