seed,score,average_precision,auroc,precision_at_12
0,query_permutation_delta_mse,0.3557778930499014,0.13888888888888887,0.16666666666666666
0,first_layer_query_attention,0.39591369708436275,0.2847222222222222,0.4166666666666667
1,query_permutation_delta_mse,0.38852135745518096,0.2569444444444444,0.3333333333333333
1,first_layer_query_attention,0.5055782381869338,0.5,0.5
2,query_permutation_delta_mse,0.38221108884808574,0.23611111111111113,0.4166666666666667
2,first_layer_query_attention,0.4486367591866313,0.4027777777777778,0.4166666666666667
