,red,green,blue,ir_1,ir_2,ir_3,current
red,0.008127675236513218,0.2730531891187032,0.23638630410035452,0.10895189146200816,0.09716219455003738,0.1920175701379776,0.17777714629968008
green,0.26877928773562115,0.0045133111998438835,0.2781717876593272,0.11780221511920293,0.1277181307474772,0.140025960902373,0.1360086922844251
blue,0.21155321598052979,0.21218596398830414,0.0047536321605245275,0.19114263355731964,0.14372032632430395,0.046744114408890404,0.09822805225849152
ir_1,0.14781555036703745,0.10790834327538808,0.04460883637269338,0.0048044121358543634,0.27373454968134564,0.22539353122313818,0.1492525041103363
ir_2,0.1229297270377477,0.08024025956789653,0.03990002597371737,0.21995440622170767,0.00415760922866563,0.10317992915709813,0.15868113934993744
ir_3,0.05658455565571785,0.11725068092346191,0.16976999243100485,0.1384786864121755,0.12081238875786464,0.0027179490231598416,0.18071651458740234
current,0.06482752660910289,0.10046446571747462,0.11104954034090042,0.12225895375013351,0.1442172254125277,0.19539750615755716,0.0035074459544072547
